Date,Code Cost Bucket, Description,Code Sub CB,Code and Description,Amount
2023-03-28,C05,Refresh,C05_1,Redundancy,184545
2023-03-30,C07,Rental & Leasing,C07_5,Rental,186250
2023-03-31,C01,Manpower,C01_7,Holiday Provisions,161359
2023-04-01,C10,Other External Services Excl TP,C10_1,Direct Primary transport,169683
2023-04-03,C10,Other External Services Excl TP,C10_25,Prior year income,126417
2023-04-04,C10,Other External Services Excl TP,C10_12,Own Use,22211
2023-04-05,C07,Rental & Leasing,C07_3,Rental,56538
2023-04-07,C01,Manpower,C01_4,LTI,141572
2023-04-08,C01,Manpower,C01_1,Salaries & Wages,31489
2023-04-09,C08,Maintenance,C08_8,Other maintenance,50399
2023-04-11,C01,Manpower,C01_8,Staff welfare,41045
2023-04-12,C01,Manpower,C01_5,Pensions,38120
2023-04-13,C07,Rental & Leasing,C07_6,Rental,77947
2023-04-15,C01,Manpower,C01_2,Manpower Allowances,179908
2023-04-16,C10,Other External Services Excl TP,C10_10,Other technical services,68103
2023-04-17,C08,Maintenance,C08_3,Facility Maintenance,88970
2023-04-19,C13,Insurance,C13_1,PPE Insurance,140580
2023-04-20,C08,Maintenance,C08_1,Plants maintenance,151410
2023-04-21,C15,Bad Debt,C15_1,Bad debt additions,184759
2023-04-23,C01,Manpower,C01_3,Bonuses,115851
2023-04-24,C01,Manpower,C01_3,Bonuses,30862
2023-04-25,C05,Refresh,C05_2,Indemnities,90142
2023-04-27,C13,Insurance,C13_3,Inventory Insurance,165074
2023-04-28,C13,Insurance,C13_4,Intra-Group Insurance,42673
2023-04-30,C01,Manpower,C01_6,Pensions,40105
